   14.02    0.24    2.47 1
   14.27    0.78    1.72 2
   13.64    0.86    3.10 2
   10.76    7.41   11.63 1
   11.23    7.66   10.83 2
    9.84    7.45   11.38 2
    5.86    1.91    6.88 1
    6.04    2.84    6.79 2
    6.13    1.53    6.05 2
    7.46    6.88   13.24 1
    7.49    6.88   14.20 2
    7.16    6.00   13.00 2
    9.09    4.57   10.60 1
    8.91    4.89    9.71 2
   10.03    4.69   10.71 2
   12.04    0.95    4.96 1
   11.26    1.22    4.49 2
   12.41    1.76    5.31 2
   14.38   13.55   14.21 1
   15.14   13.52   14.79 2
   14.59   12.93   13.51 2
   12.75   13.25    2.13 1
   12.53   13.21    1.20 2
   13.10   14.13    2.27 2
   15.25    8.96    2.42 1
   15.44    9.87    2.19 2
   15.36    8.47    1.61 2
    1.68    3.78   13.89 1
    0.95    4.22   13.47 2
    2.45    4.30   13.66 2
    0.83    1.27   14.65 1
    0.08    1.01   14.12 2
    1.18    2.04   14.21 2
   11.63    3.11   15.35 1
   11.29    2.25   15.09 2
   11.21    3.72   14.75 2
    1.49   13.26   15.07 1
    1.87   13.75   15.80 2
    1.79   12.36   15.21 2
    1.09    2.36   10.11 1
    0.41    2.47    9.44 2
    1.78    2.97    9.85 2
    4.83   13.33   15.55 1
    5.49   13.12   14.89 2
    3.99   13.13   15.13 2
   11.11    1.93    8.95 1
   10.23    1.60    9.16 2
   11.53    2.03    9.80 2
    1.08    7.96   11.42 1
    0.59    7.15   11.34 2
    1.31    8.01   12.35 2
    8.72    5.07    1.21 1
    9.50    5.05    1.77 2
    8.86    5.81    0.63 2
   13.71    4.26    2.50 1
   13.76    3.72    3.29 2
   14.05    3.70    1.80 2
    5.59    7.96   11.16 1
    6.52    7.79   11.31 2
    5.19    7.10   11.16 2
    4.22    5.76    6.76 1
    3.72    5.26    6.12 2
    3.90    5.47    7.61 2
    1.22    7.11    3.91 1
    0.84    7.63    3.20 2
    1.50    7.75    4.56 2
    6.70    1.79    4.06 1
    6.51    1.09    3.44 2
    6.61    2.60    3.55 2
   14.05    3.32    5.00 1
   13.46    4.02    5.27 2
   14.92    3.70    5.08 2
    4.18    2.39    1.74 1
    4.69    1.69    2.15 2
    3.33    1.98    1.54 2
   15.27   12.06    1.98 1
   14.52   12.59    2.25 2
   16.03   12.61    2.16 2
    8.14   12.27    5.04 1
    8.72   11.98    5.74 2
    8.72   12.61    4.36 2
   12.51    8.06    9.27 1
   12.89    7.22    9.04 2
   12.94    8.69    8.69 2
   12.41    5.28    5.77 1
   11.50    5.01    5.89 2
   12.38    6.23    5.83 2
    5.83    3.00    9.66 1
    6.04    2.86    8.73 2
    5.87    2.13   10.04 2
   11.83   13.26   10.44 1
   11.22   13.08   11.16 2
   12.40   12.50   10.41 2
   11.52    8.89   14.68 1
   11.36    9.50   13.96 2
   12.07    9.38   15.29 2
   11.43   10.21   12.29 1
   10.81    9.60   11.88 2
   12.29    9.79   12.17 2
   10.70    3.90    2.55 1
   11.49    4.35    2.86 2
   10.96    3.50    1.72 2
    8.69    1.00    1.16 1
    8.36    1.68    0.57 2
    7.91    0.58    1.51 2
    4.48    5.63    1.87 1
    4.89    5.81    1.03 2
    4.68    6.40    2.41 2
    9.05    7.95   15.70 1
    8.41    8.49   15.22 2
    9.90    8.22   15.36 2
    3.06    2.22    6.54 1
    2.59    1.38    6.52 2
    3.96    1.98    6.74 2
    7.43   11.83    8.97 1
    7.06   10.98    8.73 2
    7.50   12.30    8.14 2
    4.46    8.47   13.86 1
    3.58    8.11   14.00 2
    4.77    8.02   13.07 2
   -0.11   11.83   12.31 1
    0.80   11.92   12.05 2
   -0.54   11.45   11.55 2
    0.79    4.70    4.94 1
    1.02    5.58    4.64 2
    1.59    4.19    4.85 2
    2.55   11.94    4.29 1
    2.56   11.00    4.12 2
    3.06   12.31    3.57 2
    8.85    1.74   10.64 1
    8.80    2.69   10.62 2
    7.95    1.44   10.51 2
   15.83    7.46    7.81 1
   15.39    6.64    8.01 2
   15.14    8.12    7.86 2
    4.33   14.52    9.94 1
    3.39   14.61   10.07 2
    4.46   13.61    9.69 2
   14.70    3.30   11.50 1
   15.46    2.95   11.04 2
   14.35    2.56   11.99 2
   15.71    6.93    0.57 1
   14.90    6.56    0.21 2
   16.22    6.17    0.84 2
   10.27   12.76   12.71 1
    9.46   13.01   12.26 2
   10.20   11.82   12.82 2
   12.57    6.59    1.95 1
   12.59    7.31    2.58 2
   13.06    5.89    2.37 2
   11.80   11.21    4.77 1
   11.08   11.02    5.38 2
   11.63   12.11    4.48 2
    3.63    5.65   13.75 1
    3.83    5.46   12.84 2
    4.27    5.14   14.25 2
    6.95    9.76   15.29 1
    6.09    9.71   14.88 2
    6.87   10.46   15.94 2
   13.86    1.46   13.28 1
   12.94    1.71   13.18 2
   14.02    0.86   12.55 2
    4.48   11.82    2.40 1
    4.16   11.01    1.99 2
    4.35   12.49    1.73 2
   13.43    5.67    8.61 1
   12.94    5.12    9.22 2
   13.13    5.39    7.74 2
   10.85    0.50   12.40 1
   10.57    0.54   13.31 2
   10.11    0.84   11.90 2
    7.42    4.17   12.76 1
    7.96    4.50   12.04 2
    7.07    3.34   12.44 2
    6.20    9.44    8.96 1
    5.80    9.19    9.80 2
    5.61    9.08    8.30 2
    9.34    2.16    4.28 1
    9.51    2.82    3.60 2
    8.39    2.16    4.37 2
    3.45    9.44    1.44 1
    2.99    8.62    1.61 2
    3.16    9.70    0.57 2
    9.83   10.95    6.98 1
    9.66   10.32    7.68 2
    9.83   11.80    7.42 2
    1.81   14.24    2.25 1
    2.32   14.98    2.59 2
    1.08   14.15    2.86 2
   15.45   15.22    7.82 1
   14.89   14.47    7.67 2
   15.99   14.98    8.57 2
    6.74   13.89    6.98 1
    7.20   14.73    6.94 2
    6.90   13.49    6.12 2
   13.90   13.16    6.79 1
   13.03   12.95    6.45 2
   14.48   12.55    6.33 2
    5.95    7.18   15.72 1
    6.62    7.86   15.83 2
    5.32    7.57   15.11 2
   11.95   12.88   15.08 1
   11.31   12.89   14.36 2
   12.78   13.11   14.66 2
    6.26    0.48   10.90 1
    5.98    0.51   11.82 2
    5.68   -0.17   10.49 2
    1.41    2.30    1.89 1
    1.24    3.23    1.97 2
    1.26    2.10    0.97 2
   15.33    9.71   14.60 1
   14.84    9.80   13.78 2
   14.69    9.88   15.28 2
    4.11   13.57    6.21 1
    4.85   13.93    6.69 2
    4.32   12.64    6.11 2
   11.29   14.08    5.55 1
   11.31   14.11    6.50 2
   11.76   14.86    5.27 2
    2.56    5.52    9.35 1
    2.28    6.43    9.37 2
    1.83    5.05    8.94 2
    3.62    4.14    4.60 1
    3.47    3.35    5.11 2
    3.92    3.82    3.75 2
    9.02    5.59    8.13 1
    9.77    5.13    7.75 2
    8.27    5.29    7.62 2
   13.99   14.88   11.50 1
   13.97   14.68   12.43 2
   13.19   14.48   11.15 2
   10.80    0.56   15.25 1
   10.16    0.81   15.92 2
   10.87   -0.39   15.33 2
    5.18    7.80    3.26 1
    5.01    8.48    2.61 2
    6.12    7.88    3.44 2
   12.96   10.21    0.68 1
   12.66    9.75    1.47 2
   13.01   11.13    0.95 2
   12.90    8.74    3.79 1
   13.80    8.86    3.47 2
   12.55    9.63    3.87 2
    8.02   13.51   11.45 1
    7.81   14.44   11.30 2
    8.05   13.13   10.57 2
    1.73    7.88   14.05 1
    1.42    6.98   14.07 2
    1.12    8.36   14.59 2
    0.46    4.23    7.99 1
    0.64    4.62    7.13 2
   -0.44    3.94    7.94 2
    4.78    3.40   14.95 1
    4.39    3.17   15.79 2
    5.72    3.29   15.08 2
   15.44    5.92   12.78 1
   15.07    5.20   12.27 2
   14.81    6.07   13.48 2
    5.76   13.84    4.07 1
    5.61   12.91    3.92 2
    5.23   14.04    4.85 2
   10.45    5.23   13.70 1
   10.09    5.99   13.24 2
   11.13    5.59   14.26 2
    2.12   10.59   15.05 1
    2.63   10.05   14.44 2
    1.21   10.43   14.81 2
    9.74   12.95    2.84 1
   10.63   12.61    2.76 2
    9.58   13.40    2.00 2
   14.09    9.58    7.56 1
   14.72   10.21    7.20 2
   13.56    9.32    6.81 2
    2.74   15.28   13.18 1
    2.08   14.97   12.56 2
    2.23   15.67   13.89 2
    1.56   10.93    9.03 1
    2.07   11.29    9.75 2
    1.88   10.03    8.93 2
    0.47   11.31    6.44 1
    1.01   11.80    5.82 2
    0.90   11.44    7.28 2
    1.97    9.32    5.35 1
    2.74    9.19    5.91 2
    1.28    9.60    5.94 2
    4.99    1.37   13.08 1
    4.28    0.73   13.10 2
    4.70    2.06   13.68 2
    4.69   10.95    5.88 1
    4.07   10.95    5.16 2
    4.58   10.08    6.28 2
    6.52    4.25    2.92 1
    7.15    4.38    2.21 2
    5.74    4.72    2.62 2
    4.77   10.94   11.72 1
    4.58   11.54   11.00 2
    4.85   10.08   11.30 2
    8.96    0.28    6.73 1
    8.84    1.07    6.20 2
    9.53   -0.28    6.20 2
    4.91    5.08   11.08 1
    4.00    5.21   10.80 2
    5.17    4.26   10.65 2
    1.67    5.07    1.79 1
    1.41    5.24    2.70 2
    2.57    5.40    1.73 2
    7.33   11.42    2.14 1
    8.07   11.82    2.58 2
    6.56   11.85    2.52 2
   13.77    9.00   11.54 1
   14.62    8.58   11.69 2
   13.45    8.61   10.73 2
   14.07   11.57    9.66 1
   14.13   10.74    9.19 2
   14.05   12.23    8.97 2
    1.17   15.21   10.64 1
    0.23   15.11   10.82 2
